CO2,Temperature,Light
721.25,23.18,426.0
714.0,23.15,429.5
713.5,23.15,426.0
708.25,23.15,426.0
704.5,23.1,426.0
701.0,23.1,419.0
701.666666666667,23.1,419.0
699.0,23.1,419.0
689.333333333333,23.1,419.0
688.0,23.075,419.0
690.25,23.075,419.0
691.0,23.1,419.0
683.5,23.1,419.0
687.5,23.05,419.0
686.0,23.0,419.0
680.5,23.0,418.5
681.5,23.0,0.0
685.0,22.945,0.0
685.0,22.945,0.0
689.0,22.89,0.0
689.5,22.89,0.0
689.0,22.89,0.0
691.0,22.89,0.0
688.0,22.89,0.0
689.5,22.89,0.0
689.0,22.79,0.0
685.666666666667,22.79,0.0
687.0,22.79,0.0
688.0,22.79,0.0
670.0,22.745,0.0
668.666666666667,22.7,0.0
670.0,22.7,0.0
667.0,22.7,0.0
664.5,22.6666666666667,0.0
670.0,22.7,0.0
670.333333333333,22.6,0.0
672.0,22.6,0.0
658.0,22.6,0.0
660.5,22.6,0.0
658.0,22.6,0.0
655.0,22.6,0.0
654.25,22.6,0.0
648.0,22.6,0.0
648.666666666667,22.5,0.0
646.0,22.5,0.0
646.0,22.5,0.0
641.5,22.5,0.0
639.0,22.39,0.0
640.0,22.5,0.0
630.5,22.39,0.0
629.333333333333,22.39,0.0
632.0,22.39,0.0
636.5,22.39,0.0
627.5,22.39,0.0
626.0,22.39,0.0
625.5,22.39,0.0
623.5,22.34,0.0
624.666666666667,22.39,0.0
622.0,22.39,0.0
621.0,22.29,0.0
626.5,22.34,0.0
622.0,22.29,0.0
620.0,22.39,0.0
621.5,22.29,0.0
616.333333333333,22.29,0.0
609.0,22.29,0.0
614.0,22.29,0.0
613.5,22.29,0.0
611.0,22.29,0.0
612.0,22.29,0.0
608.0,22.29,0.0
605.5,22.29,0.0
608.5,22.2675,0.0
608.5,22.2,0.0
602.5,22.245,0.0
598.0,22.2,0.0
595.0,22.2,0.0
591.0,22.2,0.0
591.0,22.245,0.0
595.0,22.2,0.0
594.333333333333,22.2,0.0
593.5,22.2,0.0
592.0,22.2,0.0
586.5,22.15,0.0
586.0,22.2,0.0
586.0,22.15,0.0
584.5,22.2,0.0
584.5,22.1,0.0
585.5,22.1,0.0
584.666666666667,22.1333333333333,0.0
577.0,22.2,0.0
580.0,22.1,0.0
582.0,22.125,0.0
580.0,22.2,0.0
578.0,22.1,0.0
576.5,22.1,0.0
580.0,22.1,0.0
572.5,22.1,0.0
567.0,22.1,0.0
568.0,22.1,0.0
574.5,22.1,0.0
564.333333333333,22.1,0.0
563.0,22.1,0.0
564.5,22.1,0.0
566.333333333333,22.0666666666667,0.0
562.0,22.1,0.0
565.5,22.0,0.0
570.0,22.0,0.0
562.0,22.05,0.0
560.0,22.0,0.0
558.0,22.0,0.0
556.0,22.0,0.0
557.0,22.0,0.0
556.5,21.9175,0.0
557.5,21.945,0.0
555.0,21.926666666666698,0.0
555.0,21.89,0.0
553.0,21.89,0.0
549.5,21.89,0.0
548.5,21.89,0.0
551.5,21.89,0.0
548.5,21.89,0.0
548.0,21.89,0.0
547.5,21.89,0.0
553.0,21.89,0.0
547.5,21.84,0.0
548.666666666667,21.856666666666698,0.0
540.0,21.79,0.0
538.0,21.79,0.0
542.0,21.79,0.0
542.0,21.79,0.0
538.0,21.79,0.0
537.666666666667,21.79,0.0
537.5,21.79,0.0
536.0,21.79,0.0
534.5,21.745,0.0
532.5,21.7,0.0
530.0,21.76,0.0
529.5,21.745,0.0
531.0,21.79,0.0
533.333333333333,21.73,0.0
531.0,21.745,0.0
529.0,21.745,0.0
528.5,21.745,0.0
525.0,21.7,0.0
528.5,21.7,0.0
530.5,21.7,0.0
528.0,21.7,0.0
526.0,21.7,0.0
530.0,21.7,0.0
533.333333333333,21.7,0.0
529.0,21.7,0.0
528.0,21.7,0.0
526.0,21.7,0.0
526.0,21.7,0.0
521.0,21.7,0.0
518.0,21.7,0.0
515.5,21.7,0.0
520.0,21.7,0.0
523.5,21.7,0.0
525.5,21.7,0.0
525.5,21.7,0.0
514.0,21.7,0.0
518.0,21.7,0.0
518.0,21.7,0.0
520.0,21.7,0.0
521.0,21.6,0.0
518.0,21.6,0.0
517.0,21.6,0.0
511.5,21.6,0.0
514.0,21.65,0.0
515.5,21.6,0.0
517.0,21.6,0.0
515.0,21.6,0.0
512.0,21.6,0.0
515.0,21.6,0.0
511.0,21.65,0.0
514.0,21.6,0.0
508.0,21.6,0.0
509.75,21.6,0.0
508.75,21.6,0.0
508.5,21.6,0.0
507.0,21.6,0.0
507.0,21.6,0.0
503.5,21.6,0.0
504.0,21.6,0.0
504.0,21.6,0.0
500.5,21.575,0.0
500.0,21.6,0.0
503.5,21.6,0.0
503.0,21.55,0.0
502.5,21.55,0.0
502.0,21.5,0.0
502.0,21.5666666666667,0.0
502.5,21.5,0.0
497.0,21.5,0.0
501.5,21.5,0.0
504.0,21.5,0.0
501.0,21.5,0.0
493.75,21.5,0.0
500.0,21.5,0.0
504.5,21.5,0.0
504.0,21.5,0.0
501.0,21.5,0.0
499.0,21.5,0.0
502.0,21.5,0.0
503.5,21.5,0.0
500.666666666667,21.5,0.0
493.0,21.5,0.0
492.5,21.5,0.0
493.0,21.5,0.0
495.5,21.5,0.0
492.666666666667,21.5,0.0
490.0,21.5,0.0
493.0,21.5,0.0
494.666666666667,21.5,0.0
496.0,21.5,0.0
491.0,21.5,0.0
490.5,21.5,0.0
490.0,21.5,0.0
491.0,21.5,0.0
491.666666666667,21.5,0.0
493.5,21.5,0.0
493.75,21.4725,0.0
490.0,21.5,0.0
488.0,21.5,0.0
490.0,21.5,0.0
487.0,21.5,0.0
492.5,21.445,0.0
493.5,21.445,0.0
493.333333333333,21.463333333333303,0.0
488.0,21.445,0.0
487.5,21.5,0.0
485.333333333333,21.426666666666698,0.0
484.0,21.39,0.0
489.0,21.39,0.0
488.0,21.445,0.0
493.0,21.5,0.0
491.0,21.39,0.0
488.0,21.445,0.0
487.25,21.445,0.0
489.0,21.39,0.0
489.0,21.5,0.0
486.0,21.39,0.0
484.666666666667,21.426666666666698,0.0
485.0,21.39,0.0
487.0,21.39,0.0
492.0,21.39,0.0
490.666666666667,21.39,0.0
488.0,21.39,0.0
485.5,21.39,0.0
486.0,21.39,0.0
485.5,21.39,0.0
486.0,21.39,0.0
480.0,21.39,0.0
481.0,21.39,0.0
481.666666666667,21.39,0.0
485.5,21.39,0.0
485.0,21.39,0.0
473.0,21.39,0.0
475.0,21.39,0.0
486.0,21.39,0.0
481.5,21.39,0.0
483.0,21.39,0.0
479.0,21.39,0.0
479.0,21.39,0.0
479.0,21.39,0.0
479.0,21.34,0.0
479.0,21.39,0.0
477.0,21.39,0.0
477.5,21.39,0.0
477.5,21.29,0.0
480.0,21.34,0.0
480.0,21.29,0.0
482.0,21.34,0.0
480.333333333333,21.323333333333302,0.0
477.5,21.34,0.0
476.0,21.29,0.0
479.0,21.39,0.0
471.0,21.39,0.0
474.0,21.29,0.0
477.5,21.29,0.0
476.0,21.34,0.0
474.25,21.29,0.0
475.0,21.39,0.0
476.5,21.29,0.0
474.5,21.34,0.0
478.0,21.29,0.0
475.333333333333,21.29,0.0
477.0,21.29,0.0
475.5,21.29,0.0
477.5,21.29,0.0
477.5,21.29,0.0
478.0,21.29,0.0
473.5,21.29,0.0
472.5,21.29,0.0
472.0,21.29,0.0
469.5,21.29,0.0
466.666666666667,21.29,0.0
467.0,21.29,0.0
469.5,21.29,0.0
469.0,21.2,0.0
471.0,21.29,0.0
469.0,21.29,0.0
467.333333333333,21.26,0.0
471.5,21.245,0.0
471.666666666667,21.23,0.0
475.0,21.29,0.0
471.0,21.2,0.0
471.0,21.2,0.0
471.0,21.245,0.0
474.5,21.245,0.0
475.5,21.2,0.0
474.0,21.2,0.0
469.0,21.2,0.0
474.0,21.2,0.0
474.0,21.2,0.0
468.5,21.2,0.0
469.5,21.2,0.0
472.5,21.2,0.0
467.5,21.2,0.0
469.0,21.2,0.0
466.5,21.2,0.0
469.5,21.2,0.0
469.0,21.2,0.0
467.0,21.2,0.0
467.333333333333,21.2,0.0
467.0,21.2,0.0
464.5,21.2,0.0
466.0,21.2,0.0
473.0,21.2,0.0
475.0,21.2,0.0
471.0,21.2,0.0
470.0,21.2,0.0
466.25,21.2,0.0
467.0,21.2,0.0
473.0,21.2,0.0
468.0,21.2,0.0
463.0,21.2,0.0
466.0,21.2,0.0
467.0,21.2,0.0
468.0,21.2,0.0
468.0,21.2,0.0
468.0,21.2,0.0
465.5,21.2,0.0
464.0,21.2,0.0
464.5,21.2,0.0
465.666666666667,21.2,0.0
465.75,21.2,0.0
464.0,21.2,0.0
467.0,21.2,0.0
466.5,21.15,0.0
465.0,21.2,0.0
462.0,21.2,0.0
459.666666666667,21.2,0.0
458.0,21.2,0.0
462.5,21.2,0.0
467.0,21.2,0.0
466.5,21.2,0.0
463.0,21.2,0.0
465.0,21.2,0.0
463.25,21.2,0.0
460.0,21.2,0.0
457.0,21.2,0.0
