Temperature,Humidity,CO2
23.18,27.272,721.25
23.15,27.2675,714.0
23.15,27.245,713.5
23.15,27.2,708.25
23.1,27.2,704.5
23.1,27.2,701.0
23.1,27.2,701.666666666667
23.1,27.2,699.0
23.1,27.2,689.333333333333
23.075,27.175,688.0
23.075,27.15,690.25
23.1,27.1,691.0
23.1,27.1666666666667,683.5
23.05,27.15,687.5
23.0,27.125,686.0
23.0,27.125,680.5
23.0,27.2,681.5
22.945,27.29,685.0
22.945,27.39,685.0
22.89,27.39,689.0
22.89,27.39,689.5
22.89,27.39,689.0
22.89,27.445,691.0
22.89,27.5,688.0
22.89,27.5,689.5
22.79,27.445,689.0
22.79,27.5,685.666666666667
22.79,27.5,687.0
22.79,27.5,688.0
22.745,27.5,670.0
22.7,27.463333333333303,668.666666666667
22.7,27.5,670.0
22.7,27.5,667.0
22.6666666666667,27.426666666666698,664.5
22.7,27.6,670.0
22.6,27.426666666666698,670.333333333333
22.6,27.39,672.0
22.6,27.356666666666698,658.0
22.6,27.445,660.5
22.6,27.426666666666698,658.0
22.6,27.445,655.0
22.6,27.445,654.25
22.6,27.39,648.0
22.5,27.323333333333302,648.666666666667
22.5,27.445,646.0
22.5,27.5,646.0
22.5,27.445,641.5
22.39,27.29,639.0
22.5,27.5,640.0
22.39,27.34,630.5
22.39,27.356666666666698,629.333333333333
22.39,27.5,632.0
22.39,27.5,636.5
22.39,27.5,627.5
22.39,27.39,626.0
22.39,27.5,625.5
22.34,27.39,623.5
22.39,27.463333333333303,624.666666666667
22.39,27.39,622.0
22.29,27.39,621.0
22.34,27.39,626.5
22.29,27.39,622.0
22.39,27.39,620.0
22.29,27.39,621.5
22.29,27.356666666666698,616.333333333333
22.29,27.34,609.0
22.29,27.39,614.0
22.29,27.34,613.5
22.29,27.34,611.0
22.29,27.39,612.0
22.29,27.29,608.0
22.29,27.29,605.5
22.2675,27.315,608.5
22.2,27.29,608.5
22.245,27.29,602.5
22.2,27.29,598.0
22.2,27.29,595.0
22.2,27.29,591.0
22.245,27.245,591.0
22.2,27.2,595.0
22.2,27.29,594.333333333333
22.2,27.29,593.5
22.2,27.29,592.0
22.15,27.245,586.5
22.2,27.2,586.0
22.15,27.245,586.0
22.2,27.245,584.5
22.1,27.245,584.5
22.1,27.2,585.5
22.1333333333333,27.2,584.666666666667
22.2,27.2,577.0
22.1,27.2,580.0
22.125,27.2,582.0
22.2,27.2,580.0
22.1,27.15,578.0
22.1,27.2,576.5
22.1,27.2,580.0
22.1,27.2,572.5
22.1,27.2,567.0
22.1,27.2,568.0
22.1,27.2,574.5
22.1,27.2,564.333333333333
22.1,27.2,563.0
22.1,27.15,564.5
22.0666666666667,27.1666666666667,566.333333333333
22.1,27.1,562.0
22.0,27.1,565.5
22.0,27.1,570.0
22.05,27.15,562.0
22.0,27.1,560.0
22.0,27.1,558.0
22.0,27.1,556.0
22.0,27.1,557.0
21.9175,27.1,556.5
21.945,27.1,557.5
21.926666666666698,27.1,555.0
21.89,27.1,555.0
21.89,27.1,553.0
21.89,27.1,549.5
21.89,27.1,548.5
21.89,27.1,551.5
21.89,27.1,548.5
21.89,27.1,548.0
21.89,27.1,547.5
21.89,27.1,553.0
21.84,27.1,547.5
21.856666666666698,27.1,548.666666666667
21.79,27.1,540.0
21.79,27.1,538.0
21.79,27.1,542.0
21.79,27.1,542.0
21.79,27.1,538.0
21.79,27.1,537.666666666667
21.79,27.1,537.5
21.79,27.1,536.0
21.745,27.1,534.5
21.7,27.1,532.5
21.76,27.1,530.0
21.745,27.05,529.5
21.79,27.05,531.0
21.73,27.0,533.333333333333
21.745,27.0,531.0
21.745,27.0,529.0
21.745,27.0,528.5
21.7,27.0,525.0
21.7,27.0,528.5
21.7,27.0,530.5
21.7,26.89,528.0
21.7,26.89,526.0
21.7,26.89,530.0
21.7,26.89,533.333333333333
21.7,26.89,529.0
21.7,26.89,528.0
21.7,26.89,526.0
21.7,26.89,526.0
21.7,26.79,521.0
21.7,26.79,518.0
21.7,26.79,515.5
21.7,26.79,520.0
21.7,26.7675,523.5
21.7,26.79,525.5
21.7,26.79,525.5
21.7,26.79,514.0
21.7,26.7,518.0
21.7,26.7,518.0
21.7,26.7,520.0
21.6,26.7,521.0
21.6,26.6,518.0
21.6,26.65,517.0
21.6,26.6,511.5
21.65,26.65,514.0
21.6,26.55,515.5
21.6,26.5,517.0
21.6,26.5,515.0
21.6,26.5,512.0
21.6,26.5,515.0
21.65,26.55,511.0
21.6,26.5,514.0
21.6,26.445,508.0
21.6,26.4725,509.75
21.6,26.445,508.75
21.6,26.445,508.5
21.6,26.39,507.0
21.6,26.39,507.0
21.6,26.39,503.5
21.6,26.39,504.0
21.6,26.39,504.0
21.575,26.315,500.5
21.6,26.29,500.0
21.6,26.29,503.5
21.55,26.245,503.0
21.55,26.245,502.5
21.5,26.2,502.0
21.5666666666667,26.2,502.0
21.5,26.2,502.5
21.5,26.2,497.0
21.5,26.15,501.5
21.5,26.15,504.0
21.5,26.1,501.0
21.5,26.1,493.75
21.5,26.1,500.0
21.5,26.1,504.5
21.5,26.05,504.0
21.5,26.1,501.0
21.5,26.0,499.0
21.5,26.0,502.0
21.5,26.0,503.5
21.5,26.0,500.666666666667
21.5,26.0,493.0
21.5,26.0,492.5
21.5,26.0,493.0
21.5,25.89,495.5
21.5,26.0,492.666666666667
21.5,26.0,490.0
21.5,25.926666666666698,493.0
21.5,25.89,494.666666666667
21.5,25.89,496.0
21.5,25.89,491.0
21.5,25.84,490.5
21.5,25.84,490.0
